ID produktu;Kategoria;Podkategoria;Nazwa produktu;Cena zakupu;ID Dostawcy;Rozmiar opakowania;Minimum do zamówienia
FUR-BO-10001798;Meble;Regały;Bush Somerset Collection Bookcase;151,94;STI-01;1;2
FUR-CH-10000454;Meble;Krzesła;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;317,17;EXW-09;1;8
OFF-LA-10000240;Wsparcie biura;Etykiety;Self-Adhesive Address Labels for Typewriters by Universal;10,75;PIE-22;90;900
FUR-TA-10000577;Meble;Tabel;Bretford CR4500 Series Slim Rectangular Table;114,91;AMP-04;1;9
OFF-ST-10000760;Wsparcie biura;Składowanie;Eldon Fold 'N Roll Cart System;12,45;PIE-22;7;49
FUR-FU-10001487;Meble;Meble;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;9;AMP-04;1;9
OFF-AR-10002833;Wsparcie biura;Artykuły;Newell 322;2,31;LEC-23;20;180
TEC-PH-10002275;Technologiczne;Telefony;Mitel 5320 IP Phone VoIP phone;166,31;MIC-18;2;10
OFF-BI-10003910;Wsparcie biura;Segregatory;DXL Angle-View Binders with Locking Rings by Samsill;8,09;SCR-27;14;112
OFF-AP-10002892;Wsparcie biura;Urządzenia;Belkin F5C206VTEL 6 Outlet Surge;29,87;LEC-23;5;30
FUR-TA-10001539;Meble;Tabel;Chromcraft Rectangular Conference Tables;199,05;BBB-03;1;2
TEC-PH-10002033;Technologiczne;Telefony;Konftel 250 Conference phone - Charcoal black;244,95;WTF-11;1;2
OFF-PA-10002365;Wsparcie biura;Papier;Xerox 1967;7;HAR-21;4;8
OFF-BI-10003656;Wsparcie biura;Segregatory;Fellowes PB200 Plastic Comb Binding Machine;180,19;SCR-27;5;50
OFF-AP-10002311;Wsparcie biura;Urządzenia;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;-11,01;COL-25;2;10
OFF-BI-10000756;Wsparcie biura;Segregatory;Storex DuraTech Recycled Plastic Frosted Binders;-0,43;LEC-23;22;110
OFF-ST-10004186;Wsparcie biura;Składowanie;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";113,2;PEN-28;3;12
OFF-ST-10000107;Wsparcie biura;Składowanie;Fellowes Super Stor/Drawer;32,75;HAR-21;9;45
OFF-AR-10003056;Wsparcie biura;Artykuły;Newell 341;5,52;SCR-27;11;110
TEC-PH-10001949;Technologiczne;Telefony;Cisco SPA 501G IP Phone;76,5;PC--16;2;6
OFF-BI-10002215;Wsparcie biura;Segregatory;"Wilson Jones Hanging View Binder, White, 1""";7,53;PLA-26;14;126
OFF-AR-10000246;Wsparcie biura;Artykuły;Newell 318;3,5;PIE-22;6;60
OFF-AP-10001492;Wsparcie biura;Urządzenia;Acco Six-Outlet Power Strip, 4' Cord Length;10,86;COL-29;3;27
FUR-CH-10002774;Meble;Krzesła;Global Deluxe Stacking Chair, Gray;35,18;EXW-09;1;7
OFF-BI-10001634;Wsparcie biura;Segregatory;Wilson Jones Active Use Binders;7,94;COL-29;20;120
TEC-AC-10003027;Technologiczne;Akcesoria;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;34,11;X-H-15;9;81
FUR-BO-10004834;Meble;Regały;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;202,63;EXW-09;1;10
OFF-BI-10000474;Wsparcie biura;Segregatory;Avery Recycled Flexi-View Covers for Binding Systems;1,29;TYP-30;19;171
FUR-FU-10004848;Meble;Meble;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";46,58;AVF-02;1;3
OFF-EN-10001509;Wsparcie biura;Koperty;Poly String Tie Envelopes;2,18;MED-24;10;50
OFF-AR-10004042;Wsparcie biura;Artykuły;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;16;PEN-28;15;75
OFF-BI-10001525;Wsparcie biura;Segregatory;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";0,19;PEN-28;24;168
OFF-AR-10001683;Wsparcie biura;Artykuły;Lumber Crayons;9,66;MED-24;22;220
OFF-PA-10000249;Wsparcie biura;Papier;Easy-staple paper;13,14;COL-29;3;12
TEC-PH-10004977;Technologiczne;Telefony;GE 30524EE4;174,43;X-H-15;1;4
FUR-FU-10003664;Meble;Meble;Electrix Architect's Clamp-On Swing Arm Lamp, Black;8,59;TER-06;1;4
OFF-EN-10002986;Wsparcie biura;Koperty;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";16,53;COL-25;22;132
FUR-BO-10002545;Meble;Regały;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;161,81;ANG-05;1;7
FUR-CH-10004218;Meble;Krzesła;Global Fabric Manager's Chair, Dark Gray;65,64;ANG-05;1;7
TEC-PH-10000486;Technologiczne;Telefony;Plantronics HL10 Handset Lifter;103,23;WTF-11;2;10
TEC-PH-10004093;Technologiczne;Telefony;Panasonic Kx-TS550;40,93;MIC-18;3;6
OFF-ST-10003479;Wsparcie biura;Składowanie;Eldon Base for stackable storage shelf, platinum;40,89;PEN-28;4;20
OFF-ST-10003282;Wsparcie biura;Składowanie;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;52,59;PIE-22;1;4
TEC-AC-10000171;Technologiczne;Akcesoria;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;32,88;DOD-20;15;135
OFF-BI-10003291;Wsparcie biura;Segregatory;Wilson Jones Leather-Like Binders with DublLock Round Rings;12,84;COL-29;13;117
OFF-ST-10001713;Wsparcie biura;Składowanie;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;55,11;PIE-22;6;18
TEC-AC-10002167;Technologiczne;Akcesoria;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;16,65;AKO-14;9;45
TEC-PH-10003988;Technologiczne;Telefony;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;13,95;NAN-19;3;12
OFF-BI-10004410;Wsparcie biura;Segregatory;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;9,36;COL-29;13;104
OFF-LA-10002762;Wsparcie biura;Etykiety;Avery 485;18,42;COL-25;19;190
FUR-FU-10001706;Meble;Meble;Longer-Life Soft White Bulbs;4,56;TER-06;1;4
FUR-CH-10003061;Meble;Krzesła;Global Leather Task Chair, Black;107,09;OBE-10;1;5
OFF-FA-10000304;Wsparcie biura;Łączniki;Advantus Push Pins;3,07;SCR-27;9;63
TEC-PH-10002447;Technologiczne;Telefony;AT&T CL83451 4-Handset Telephone;265,73;PC--16;2;10
OFF-ST-10000604;Wsparcie biura;Składowanie;Home/Office Personal File Carts;43,45;PIE-22;4;12
OFF-PA-10001569;Wsparcie biura;Papier;Xerox 232;9,59;LEC-23;2;6
FUR-CH-10003968;Meble;Krzesła;Novimex Turbo Task Chair;65,3;CRO-07;1;9
OFF-PA-10000587;Wsparcie biura;Papier;Array Parchment Paper, Assorted Colors;10,78;HAR-21;3;12
OFF-BI-10001460;Wsparcie biura;Segregatory;Plastic Binding Combs;16,21;MED-24;10;80
OFF-AR-10001868;Wsparcie biura;Artykuły;Prang Dustless Chalk Sticks;2,52;COL-25;14;112
TEC-AC-10004633;Technologiczne;Akcesoria;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;10,07;REN-17;5;45
OFF-BI-10001078;Wsparcie biura;Segregatory;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";5,86;COL-25;6;42
OFF-PA-10003892;Wsparcie biura;Papier;Xerox 1943;71,9;TYP-30;4;12
FUR-FU-10000397;Meble;Meble;Luxo Economy Swing Arm Lamp;25,52;OBE-10;1;10
FUR-CH-10001146;Meble;Krzesła;Global Value Mid-Back Manager's Chair, Gray;39,58;BES-08;1;9
OFF-AR-10002671;Wsparcie biura;Artykuły;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;153,04;COL-25;16;112
TEC-PH-10002726;Technologiczne;Telefony;netTALK DUO VoIP Telephone Service;57,74;AKO-14;2;10
OFF-PA-10000482;Wsparcie biura;Papier;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;55,77;COL-25;4;12
OFF-BI-10004654;Wsparcie biura;Segregatory;Avery Binding System Hidden Tab Executive Style Index Sets;6,35;MED-24;17;170
OFF-PA-10004675;Wsparcie biura;Papier;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";9,27;PLA-26;4;16
FUR-CH-10000513;Meble;Krzesła;High-Back Leather Manager's Chair;89,69;STI-01;1;8
FUR-FU-10003708;Meble;Meble;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";49,13;STI-01;1;3
OFF-ST-10004123;Wsparcie biura;Składowanie;Safco Industrial Wire Shelving System;54,58;PLA-26;5;15
OFF-BI-10004182;Wsparcie biura;Segregatory;Economy Binders;-0,23;SCR-27;25;250
FUR-FU-10000260;Meble;Meble;"6"" Cubicle Wall Clock, Black";1,3;AMP-04;1;10
OFF-ST-10000615;Wsparcie biura;Składowanie;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;9,99;COL-29;2;18
FUR-FU-10003194;Meble;Meble;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;0,96;AMP-04;1;3
OFF-AP-10002118;Wsparcie biura;Urządzenia;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";264,36;PLA-26;7;14
OFF-BI-10002309;Wsparcie biura;Segregatory;Avery Heavy-Duty EZD  Binder With Locking Rings;8,26;LEC-23;15;135
OFF-AR-10002053;Wsparcie biura;Artykuły;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;3,81;PIE-22;14;140
OFF-ST-10002370;Wsparcie biura;Składowanie;Sortfiler Multipurpose Personal File Organizer, Black;27,59;SCR-27;4;12
OFF-EN-10000927;Wsparcie biura;Koperty;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;37,68;PLA-26;12;60
OFF-ST-10003656;Wsparcie biura;Składowanie;Safco Industrial Wire Shelving;60,48;PIE-22;3;27
FUR-CH-10000863;Meble;Krzesła;Novimex Swivel Fabric Task Chair;167,59;AVF-02;1;6
TEC-AC-10001998;Technologiczne;Akcesoria;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;26,79;NAN-19;9;63
OFF-LA-10000134;Wsparcie biura;Etykiety;Avery 511;4,56;HAR-21;8;48
OFF-ST-10003442;Wsparcie biura;Składowanie;Eldon Portable Mobile Manager;24,6;SCR-27;6;18
OFF-AR-10004930;Wsparcie biura;Artykuły;Turquoise Lead Holder with Pocket Clip;8,91;HAR-21;17;102
OFF-PA-10000304;Wsparcie biura;Papier;Xerox 1995;9,59;HAR-21;2;4
OFF-PA-10003177;Wsparcie biura;Papier;Xerox 1999;9,59;HAR-21;3;12
FUR-FU-10003799;Meble;Meble;"Seth Thomas 13 1/2"" Wall Clock";23,29;BBB-03;1;3
OFF-BI-10002852;Wsparcie biura;Segregatory;Ibico Standard Transparent Covers;24,56;PIE-22;18;126
OFF-BI-10004738;Wsparcie biura;Segregatory;Flexible Leather- Look Classic Collection Ring Binder;1,89;TYP-30;12;72
FUR-FU-10000629;Meble;Meble;9-3/4 Diameter Round Wall Clock;19,58;CRO-07;1;4
OFF-BI-10001721;Wsparcie biura;Segregatory;Trimflex Flexible Post Binders;23,09;SCR-27;7;49
OFF-AP-10000358;Wsparcie biura;Urządzenia;Fellowes Basic Home/Office Series Surge Protectors;16,75;PLA-26;9;72
OFF-PA-10003256;Wsparcie biura;Papier;Avery Personal Creations Heavyweight Cards;12,46;MED-24;2;4
TEC-AC-10001767;Technologiczne;Akcesoria;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;28,39;NAN-19;5;25
OFF-BI-10002609;Wsparcie biura;Segregatory;Avery Hidden Tab Dividers for Binding Systems;-0,42;PLA-26;23;161
OFF-PA-10004040;Wsparcie biura;Papier;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);8,91;PIE-22;4;8
TEC-AC-10001552;Technologiczne;Akcesoria;Logitech K350 2.4Ghz Wireless Keyboard;35,34;NAN-19;11;77
FUR-FU-10004006;Meble;Meble;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;32,84;STI-01;1;8
OFF-BI-10002794;Wsparcie biura;Segregatory;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";3,69;SCR-27;24;216
TEC-AC-10003499;Technologiczne;Akcesoria;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;11,46;REN-17;12;120
TEC-PH-10002844;Technologiczne;Telefony;Speck Products Candyshell Flip Case;30,09;PMM-13;1;5
OFF-AR-10000390;Wsparcie biura;Artykuły;Newell Chalk Holder;4,37;PIE-22;10;90
TEC-AC-10000844;Technologiczne;Akcesoria;Logitech Gaming G510s - Keyboard;81,59;REN-17;5;25
FUR-FU-10001934;Meble;Meble;Magnifier Swing Arm Lamp;26,44;OBE-10;1;4
OFF-AR-10000380;Wsparcie biura;Artykuły;Hunt PowerHouse Electric Pencil Sharpener, Blue;49,38;COL-25;22;198
OFF-BI-10003981;Wsparcie biura;Segregatory;"Avery Durable Plastic 1"" Binders";6,77;PLA-26;18;126
OFF-FA-10000621;Wsparcie biura;Łączniki;OIC Colored Binder Clips, Assorted Sizes;3,9;MED-24;8;48
OFF-EN-10002600;Wsparcie biura;Koperty;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;3,19;PIE-22;13;65
OFF-PA-10004965;Wsparcie biura;Papier;Xerox 1921;10,49;TYP-30;4;8
OFF-EN-10002504;Wsparcie biura;Koperty;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;29,08;PEN-28;9;81
FUR-TA-10001768;Meble;Tabel;Hon Racetrack Conference Tables;317,64;CRO-07;1;5
OFF-BI-10003650;Wsparcie biura;Segregatory;GBC DocuBind 300 Electric Binding Machine;42,07;SCR-27;21;210
FUR-FU-10002157;Meble;Meble;Artistic Insta-Plaque;21,8;BBB-03;1;4
OFF-ST-10000777;Wsparcie biura;Składowanie;Companion Letter/Legal File, Black;48,33;SCR-27;5;40
